,game_id,color,team_id,team_name,team_region,core_shots,core_goals,core_saves,core_assists,core_score,winner
114,616151cbf8090ec745287153,blue,60ceea8788116f536df972cc,BANDITS ESC,Oceania,14,6,4,6,1755,True
115,616151cbf8090ec745287153,orange,60ffd7dc9d3c410761e88c74,RANCID RATS REBORN,Oceania,7,2,6,2,1174,False
116,616151cf143c37878b23889f,blue,60ceea8788116f536df972cc,BANDITS ESC,Oceania,9,1,3,1,769,False
117,616151cf143c37878b23889f,orange,60ffd7dc9d3c410761e88c74,RANCID RATS REBORN,Oceania,5,2,6,1,1124,True
118,616151d4143c37878b2388a6,blue,60ceea8788116f536df972cc,BANDITS ESC,Oceania,7,2,4,1,972,True
119,616151d4143c37878b2388a6,orange,60ffd7dc9d3c410761e88c74,RANCID RATS REBORN,Oceania,5,1,3,0,799,False
120,616151d9143c37878b2388ad,blue,60ceea8788116f536df972cc,BANDITS ESC,Oceania,12,7,7,7,2136,True
121,616151d9143c37878b2388ad,orange,60ffd7dc9d3c410761e88c74,RANCID RATS REBORN,Oceania,12,0,3,0,600,False
122,61615030143c37878b23883d,blue,6020bc8ef1e4807cc7003915,DIRE WOLVES,Oceania,12,4,5,4,1644,True
123,61615030143c37878b23883d,orange,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,8,3,7,2,1415,False
124,61615034f8090ec7452870e2,blue,6020bc8ef1e4807cc7003915,DIRE WOLVES,Oceania,12,4,5,3,1401,True
125,61615034f8090ec7452870e2,orange,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,6,0,9,0,892,False
126,61615038f8090ec7452870e9,blue,6020bc8ef1e4807cc7003915,DIRE WOLVES,Oceania,12,0,5,0,857,False
127,61615038f8090ec7452870e9,orange,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,7,1,10,1,1243,True
128,6161503d143c37878b238844,blue,6020bc8ef1e4807cc7003915,DIRE WOLVES,Oceania,8,2,5,1,1058,True
129,6161503d143c37878b238844,orange,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,6,1,5,0,871,False
130,61614f50143c37878b2387f7,blue,615ffec8143c37878b23868f,FORKIDDEN,Oceania,12,1,1,1,691,True
131,61614f50143c37878b2387f7,orange,6091ad1bd50a7d046663343d,TEAM EROS,Oceania,2,0,8,0,935,False
132,61614f59143c37878b2387fe,blue,615ffec8143c37878b23868f,FORKIDDEN,Oceania,12,6,5,4,1746,True
133,61614f59143c37878b2387fe,orange,6091ad1bd50a7d046663343d,TEAM EROS,Oceania,7,1,3,1,762,False
134,61614f5ef8090ec745287095,blue,615ffec8143c37878b23868f,FORKIDDEN,Oceania,3,1,4,1,924,False
135,61614f5ef8090ec745287095,orange,6091ad1bd50a7d046663343d,TEAM EROS,Oceania,9,2,1,2,907,True
136,61614f62f8090ec74528709c,blue,615ffec8143c37878b23868f,FORKIDDEN,Oceania,9,2,3,2,1150,True
137,61614f62f8090ec74528709c,orange,6091ad1bd50a7d046663343d,TEAM EROS,Oceania,4,1,4,1,969,False
